Entity,Year,Alone,With friends,With children,With family,With partner,With coworkers
Women,24,4.2889047,1.0643272,2.2864633,1.8995466,1.9467293,2.7899086
Women,25,4.52511,0.82992554,2.4324358,1.6425881,2.0739188,2.55885
Women,26,4.456515,1.0222923,2.6158922,1.5254774,2.5942547,2.7598345
Women,27,4.166847,0.9419556,3.0866604,1.4811642,2.7825541,2.9311447
Women,28,4.1905637,0.7470139,3.8965516,1.3605305,2.9517784,2.47433
Women,29,4.161403,0.7370864,4.240896,1.5667585,2.9311628,2.367357
Women,30,4.151997,0.6284416,4.520283,1.1553273,3.0659535,2.4534602
Women,31,4.1697307,0.70070773,4.5468245,1.1997049,3.3682008,2.3323836
Women,32,4.0909457,0.5597983,4.971095,1.1600492,3.2376122,2.406133
Women,33,4.1408052,0.6443412,5.121225,1.0576221,3.268358,2.2124457
Women,34,4.1867375,0.5110594,5.3317137,1.0751323,3.4388359,2.075178
Women,35,4.230489,0.5565209,5.197566,1.0709168,3.2497852,2.3785787
Women,36,4.551182,0.45242566,5.0719523,1.1244549,3.2745948,2.108599
Women,37,4.473909,0.5356394,4.995137,1.1006973,3.1875224,2.21081
Women,38,4.333449,0.4701763,4.970833,1.0618094,3.1952922,2.3800054
Women,39,4.4492216,0.5132375,5.15996,0.9921671,3.207181,2.329052
Women,40,4.847042,0.48700827,4.679605,0.8917847,3.0924478,2.194223
Women,41,5.072096,0.6066363,4.6841087,0.8633483,3.0775697,2.2423315
Women,42,5.1121163,0.53049517,4.3027678,0.9022926,2.8314059,2.5969946
Women,43,5.1333046,0.59064096,4.328261,0.9707912,3.2301965,2.1584866
Women,44,5.2143226,0.53805405,4.093711,1.021652,2.9747152,2.335044
Women,45,5.5015745,0.52955884,3.7952461,1.0041404,2.8086338,2.172974
Women,46,5.4251184,0.5173325,3.544735,0.9976592,3.171261,2.108709
Women,47,5.767257,0.5005942,3.3227956,1.073107,2.6469738,2.298052
Women,48,5.6373205,0.45487937,2.8696532,1.0597386,3.0473151,2.2580273
Women,49,5.7597523,0.4531996,2.4711144,1.00347,3.0778227,2.815966
Women,50,5.999632,0.4354461,2.594774,1.2423775,2.9879093,2.3288121
Women,51,6.0227313,0.6144507,2.270984,1.166878,2.9816387,2.5064116
Women,52,6.198334,0.4545311,2.053417,1.2518247,3.0652761,2.4242132
Women,53,6.275227,0.5392661,1.9104291,1.0912007,3.009696,2.3369582
Women,54,6.072256,0.5569611,1.7095814,1.1563373,2.9431505,2.487277
Women,55,6.4732227,0.49487153,1.7317063,1.1973059,2.9970307,2.0986097
Women,56,6.362528,0.63576746,1.4773582,1.3782436,3.2306907,2.336908
Women,57,6.781644,0.49696872,1.5608976,1.248812,2.9666154,1.938068
Women,58,6.804448,0.51351833,1.300971,1.3920618,2.7837353,1.9124132
Women,59,6.8362994,0.39465597,1.2585315,1.1485045,3.236293,2.0924177
Women,60,7.0217724,0.54564226,1.1864712,1.2442086,3.0899951,1.8552725
Women,61,7.0495515,0.4705348,1.2192316,1.1393235,3.338135,1.6686772
Women,62,6.913449,0.4725324,1.2664685,1.1599557,3.5750623,1.3580607
Women,63,7.1734195,0.47408143,1.158315,1.1728599,3.4796302,1.2580628
Women,64,7.3297973,0.51726794,1.136041,1.1991502,3.5863364,1.1691452
Women,65,7.368295,0.49389532,1.0743843,1.3315147,3.8200517,0.7502265
Women,66,7.299414,0.51033586,1.1475278,1.3105175,3.8950763,0.6343121
Women,67,7.201143,0.553782,1.1065712,1.0715792,4.0805755,0.5785304
Women,68,7.8098106,0.6668516,0.96882784,1.0789118,3.5891454,0.4868186
Women,69,7.411082,0.54652184,1.2300762,1.1245798,4.1469107,0.4102927
Women,70,7.678714,0.61088204,0.97584647,1.1040347,3.6887343,0.34551388
Women,71,7.693881,0.58888,1.10354,1.1075163,3.8628132,0.18216962
Women,72,8.168462,0.6377602,0.9305691,1.0521846,3.6611614,0.1713623
Women,73,8.232264,0.5235563,0.9495128,0.955574,3.560474,0.22264631
Women,74,7.9925013,0.5896375,1.0699474,1.1181625,3.4995801,0.20253487
Women,75,8.32209,0.52451634,0.9719965,0.9924434,3.3636546,0.23397288
Women,76,8.006944,0.6545941,0.8087239,0.85365695,3.6605752,0.23850603
Women,77,8.293418,0.4843908,0.8979262,1.1422552,3.4551346,0.0783616
Women,78,8.350425,0.66594243,0.8258738,1.1947187,3.3001091,0.054053105
Women,79,8.422556,0.6995344,0.772454,1.0506723,3.061188,0.047420368
Women,80,8.451068,0.5547332,0.88801247,1.1226504,2.8190172,0.1010655
